title_de,title_ru
"Hubertusandacht und Hubertusfeier am Unterberghof","Посвящение и празднование Дня святого Губерта в Унтербергхофе"
"Inzeller Dorfschiessen","Стрельба в деревне Инцелл"
"B A C H Pilgrimage I","B A C H Паломничество I"
"Lauftreff Taching","Клуб любителей бега ""Тачинг"
"Duo Fain & Perkal","Дуэт Фейн и Перкаль"
"Almdorado Vorweihnachtsmarkt 2025","Предрождественский рынок Альмдорадо 2025"
"Papierfaltobjekte und Antiqua | Kalligrafiekurs","Предметы для складывания бумаги и курс каллиграфии Antiqua | Calligraphy"
"Einfach Zeichnen! Workshop für Kinder","Мастерская ""Просто рисуй!"" для детей"
"Bayern Krimidinner - ""Ein Stammtischkrimi""","Баварский ужин с тайной убийства - ""Триллер для завсегдатаев стола"""
"Bayerisch neurotische Lebensmusik","Баварская невротическая музыка жизни"
Loamsiada,Лоамсиада
"Winter Sportmarkt","Рынок зимних видов спорта"
"Herrichten Leonhardiritt","Подготовка Леонхардиритт"
"Malerei mit Untermalung - Für Anfänger und Fortgeschrittene","Живопись с подмалевком - для начинающих и продолжающих"
"Zeichenkurs „Obacht! Neu gedacht...“ mit Rosemarie Zacher","Курс рисования ""Obacht! Neu gedacht..."" с Розмари Захер"
"Frillensee Cup","Чашка Frillensee"
"KSK Gauversammlung","KSK Gauversammlung"
"Kinder basteln mit Naturmaterialien mit dem Gartenbauverein Chieming","Дети делают поделки из природных материалов вместе с садоводческой ассоциацией Чиеминга"
"Fußball-Spiel - FC Reit im Winkl gegen den SV Oberteisendorf 2","Футбольный матч - FC Reit im Winkl против SV Oberteisendorf 2"
"Ein deutsches Requiem","Немецкий реквием"
"Volkstrauertag in Hart","День поминовения в Харте"
"Jahreshauptversammlung der Pferdefreunde","Ежегодное общее собрание друзей лошади"
"Boogiemen’s Friends: The Boogie Express","Друзья Бугимена: Буги-экспресс"
"Tanztheater ""Picasso, Dora Maar, das Pferd und der Stier""","Театр танца ""Пикассо, Дора Маар, лошадь и бык"""
"Fire Beat Hallenparty","Вечеринка в помещении Fire Beat"
"Dr. Döblingers geschmackvolles Kasperltheater","Шоу доктора Дёблера ""Панч и Джуди"" со вкусом"
"Skibasar der TSV Siegsdorf Ski Abteilung","Лыжный базар горнолыжного департамента TSV Зигсдорф"
"Patroziniumsfest / Leonhardiritt","Праздник покровителя / Leonhardiritt"
Leonhardiritt,"Поездка на Леонгарди"
"Frühschoppen mit Ziacherertreffen","Утренняя пинта со встречей в Зиахере"
Patroziniumsgottesdienst,"Патронажная служба"
"Kunst im Garten","Искусство в саду"
"Leonhardi Frühschoppen","Утренняя пинта Леонгарди"
"Abschlusskonzert Meisterkurs Cello","Заключительный концерт мастер-класса по игре на виолончели"
"„Nach Wildenwart!“ Die Flucht des letzten bayerischen Königspaares vor der Revolution 1918","""В Вильденварт!"" Бегство последней баварской королевской четы перед революцией 1918 года"
"Konzert Chiemgau Jugendsinfonieorchester","Концерт Молодежного симфонического оркестра Киемгау"
"GTEV Grabenstätt: Hubertusmesse","GTEV Grabenstätt: месса в день святого Губерта"
"Konzert in der Kirche St. Martin","Концерт в церкви Святого Мартина"
"Dorfschießen-Siegerehrung Taching","Церемония награждения за стрельбу в деревне Тачинг"
"Musik aus der Diaspora | Max Eisingers Tacheles","Музыка диаспоры | ""Тахелес"" Макса Айзингера"
"TSV Skibasar","Лыжный базар TSV"
"Gott und die Welt 2025- Filmabend","Бог и мир 2025 - вечер кино"
Seniorennachmittag,"День пожилых людей"
"Kindergarten Mäusebande, Pfarrei Erlstätt und Elternbeirat: Sankt Martin","Детский сад Mäusebande, приход и родительский совет Erlstätt: День святого Мартина"
"Musikantenstammtisch in Waging","Встреча музыкантов в Вагинге"
"SEEcrets: Anna Grob - Circle of Light","SEEcrets: Anna Grob - Circle of Light"
"Martiniganserl-Woche im Landhaus Tanner","Неделя Мартинигансерль в отеле Landhaus Tanner"
"Jahreshauptversammlung der Faschingsfreunde Chieming e.V.","Годовое общее собрание Faschingsfreunde Chieming e.V."
"Martinigans im Goldenen Pflug","Гусь с мартини в ресторане Goldener Pflug"
Räucherabend,"Вечер курения"
"Gesund älter werden mit Unterstützung von TCM","Здоровое старение при поддержке ТКМ"
"Hausführung ""Hinter die Kulissen des Kulturforums""","Экскурсия ""За кулисами Культурфорума"""
"Vortrag Rechtsextremismus - Erkennen und Handeln","Лекция о правом экстремизме - распознать и действовать"
"Qigong für Anfänger und Fortgeschrittene","Цигун для начинающих и продвинутых практиков"
"Von Hexen, Zauberinnen und weisen Frauen","О ведьмах, колдуньях и мудрых женщинах"
"Per Anhalter nach Japan | Bastian Maria","Автостопом по Японии | Бастиан Мария"
"Frauengemeinschaft Erlstätt: Proseccofrühstück","Женская община Эрльштетта: завтрак с просекко"
Starkbier-Verkostung,"Дегустация крепкого пива"
"Treffpunkt Grün: Kräuterlehrgang - Räuchern mit Kräutern, Samen und Harzen ist etwas ganz Besonderes!","Treffpunkt Grün: травяной курс - курение с травами, семенами и смолами - это нечто особенное!"
Martinszug,"Шествие Святого Мартина"
"Alpine Ice Freestyle Weekend","Горнолыжный фристайл выходного дня"
"offene Probe der Musikkapelle Fridolfing","Открытая репетиция группы Fridolfing"
"Jahreskonzert der Musikkapelle Wössen","Ежегодный концерт оркестра Вёссена"
Eisdisco,"Ледяная дискотека"
"Wonneberger Dorftheater","Деревенский театр в Воннеберге"
"Nationalsozialismus auf dem Dorf","Национал-социализм в деревне"
"Bergen: Jugendvolkstanz","Берген: Молодежный народный танец"
"Inzeller Dorfschießen - Siegerehrung","Стрельба в деревне Инцелл - церемония награждения"
"Wild As Her & Vera Klima mit Band","Wild As Her & Vera Klima с группой"
"Tscheky & The Blues Kings","Cheky & The Blues Kings"
"Helmut Binser ""Ha?"" - Kabarett","Хельмут Бинзер ""Ха?"" - Кабаре"
"Hidden Gemz","Скрытая гемза"
"Einladung zur Aufstellungsversammlung","Приглашение на собрание созвездия"
"Kunstausstellung ""RETRO & JETZT"" im Rathaus Seebruck","Художественная выставка ""RETRO & JETZT"" в ратуше Зеебрука"
"Sonderausstellung - Molassic Park","Специальная выставка - Парк Молассики"
"10 Energiestammtisch: Besichtigung eines kleinen Wasserkraftwerkes, IR Heizung, Vergleich IR-WP, Förderprogramme","10 Круглый стол по энергетике: экскурсия на малую гидроэлектростанцию, ИК-отопление, сравнение ИК-ПЧ, программы субсидирования"
"Vernissage Angela Sans ""COMING""","Вернисаж Angela Sans ""COMING"""
"„Vom Hobby zur Sucht“ – bunte Portraits von Robert Mörner","""От хобби до зависимости"" - красочные портреты Роберта Мёрнера"
"Publikums-Eislauf und Eisstockschießen in der Eishalle Ruhpolding","Общественное катание на коньках и керлинг на катке в Рупольдинге"
"Internationales Rennen / Frillensee Cup","Международная гонка / Кубок Фрилензее"
"Neue Gentechnik - Landwirtschaft und Umwelt","Новая генная инженерия - Сельское хозяйство и окружающая среда"
"Theater ""Immer wieder samstags""","Театр ""Снова и снова по субботам"""
"Pfarrei Erlstätt: Allerheiligengottesdienst","Приход Эрльштетта: служба в День всех святых"
"Bergen: 4. Hochfellner Martinimarkt >>Wurde für 25.10-26.10.2025 aufgrund der Wettervorhersage verschoben auf den 01.11./02.11.)>>","Берген: 4-й Хохфеллнерский мартинимаркт >>Перенесен на 25.10-26.10.2025 в связи с прогнозом погоды на 01.11./02.11."
